system,n_qubits,reference_energy,baseline_energy,conditioned_energy,baseline_delta_Ha,conditioned_delta_Ha,improvement_Ha,better
beh2,14,-15.595047080934496,-15.56128916260141,-15.561287307552531,0.03375791833308561,0.033759773381964564,-1.855048878951493e-06,baseline
h2,4,-1.137283834488502,-1.1168254482172622,-1.1169047910786734,0.020458386271239748,0.020379043409828546,7.934286141120239e-05,conditioned
iodobenzene,8,-7078.011842695125,-7078.01464610747,-7078.012710331646,0.00280341234520165,0.0008676365214341786,0.0019357758237674716,conditioned
lih,12,-7.882324378883462,-7.861872267467148,-7.86187133025984,0.02045211141631409,0.020453048623622294,-9.372073082047905e-07,baseline
n2,20,,,,,,,tie
