system,n_qubits,reference_energy,baseline_delta_Ha,flat_delta_Ha,flat_energy,graph_delta_Ha,graph_energy,best
beh2,14,-15.595047080934496,0.03375791833308561,0.03376210305598093,-15.561284977878515,0.033759773381964564,-15.561287307552531,baseline
h2,4,-1.137283834488502,0.020458386271239748,0.020428674834994442,-1.1168551596535075,0.020379043409828546,-1.1169047910786734,graph
iodobenzene,8,-7078.011842695125,0.00280341234520165,0.001043706109157938,-7078.010798989016,0.0008676365214341786,-7078.0109750586035,graph
lih,12,-7.882324378883462,0.02045211141631409,0.020452981154988947,-7.861871397728473,0.020453048623622294,-7.86187133025984,baseline
n2,20,,,,,,,baseline
